Start time (ms after ~1:02)	Start time (ms after ~1:02)	Raw transcription	Corrected transcription
2580060	2585980	fancy speech that most of these people have written I'm just here representing	
2585980	2590500	the residents of Heath Street because I am a resident of the street that has	
2590500	2595460	been severely impacted since the cycleway has been implemented. I do	
2595460	2602260	firstly want to stress that the residents are not anti cyclists we are	
2602260	2611540	not anti cycleways we just want a safer environment for everybody residents the	
2611540	2617060	cyclists motorists and since the implementation of the cycleway in our	
2617060	2625100	street it has become extremely unsafe with already a cyclist landing on a car	
2625100	2631580	we've already had that accident we have had close calls where my children have	
2631580	2638380	almost been hit by vehicles traveling up Heath Street we have had elderly	
2638380	2642740	residents who have been exiting their vehicles and tripping over the concrete	
2642740	2648260	bollards in that street and damaging and you know getting severe injuries from	
2648260	2658540	that what we want to see is a more safer street for everybody that's there now	
2658540	2665340	since the implementation and you know cyclists don't understand what the	
2665340	2671820	struggles are for us every day because they are not there every day day in day	
2671820	2677980	out leaving the street multiple times a day like myself and like several other	
2677980	2684380	residents prior to the cycleway being implemented we didn't have any problems	
2684380	2690340	there was no issues we didn't write into the council to say hey you know I can't	
2690340	2697460	get out of my driveway or there wasn't any cycling accidents at all but since	
2697460	2702260	the implementation where there have been several difficulties that are	
2702260	2710780	concerning mainly safety now when exiting my driveway for example I can see	
2710780	2719020	the cyclists coming up but once I pass that small strip of road I am blind and	
2719020	2725020	yesterday I almost hit a cyclist who was coming down Heath Street because I could	
2725020	2731060	not see him at all prior to the cycleway I had plenty of room where I could see	
2731060	2735940	because the cars are parked along the curb now cars are parked virtually like	
2735940	2740860	in the middle of the road so I have to go out further and by the time I have my	
2740860	2747140	line of sight it is too late and luckily for this cyclist he wasn't traveling	
2747140	2752780	down at the speed of light which majority of them do down Heath Street we	
2752780	2759260	didn't have a collision also this cycleway is extremely dangerous because	
2759260	2766020	children come down that cycleway the wrong way it is meant for uphill they	
2766020	2772620	come downhill they do not stop they do not slow down they do not look and they	
2772620	2777700	just fly down there because it's fun then they get to the Heath Street	
2777700	2785700	intersection and thank God there has not been an accident or a fatality but if	
2785700	2794980	there is one in the making so I shared space on that road removal of that	
2794980	2800460	cycleway and making it a shared space and perhaps reducing the speed limit to	
2800460	2807860	30 k's an hour to really slow down the cars will make it much better we have	
2807860	2814620	also experienced and this is something I really wanted to make light of is since	
2814620	2821700	the meeting that we had back in February some cyclists in some of these	
2821700	2828900	organizations have been inciting their members to use Heath Street purposely	
2828900	2834980	then they come up the street when we are outside we are perhaps walking our dogs	
2834980	2840500	mowing our grass tending to our garden and these cyclists would then slow down	
2840500	2849980	or stop and verbally abuse us for no reason which is unacceptable because we	
2849980	2856380	are not against the cyclists we're just against the design of this cycleway	
2856380	2861380	because it is extremely unsafe and it's not fair that they cyclists think it's	
2861380	2868860	their right to abuse us when we're there where we've got their best interests at	
2868860	2875340	heart so I plead with all of you councillors to take into consideration	
2875340	2881140	that safety is the most important thing here for everybody it's got nothing to	
2881140	2887260	do with the cycle route from here to wherever it's got to do with making sure	
2887260	2894020	everyone who uses a road is safe and not going to get hurt	
2894020	2898140	no I'm fine thank you very much	
2900940	2907140	I think this might be the last speaker on this item Joey Proppiano please same	
2907140	2913900	thing you don't need to speak you're a resident of the street so you say	
2913900	2921920	what's up to you I'm not forcing it's up to you if you want to take the	
2924660	2934300	I'm also a Heath Street resident but I'm also a bike enthusiast as well which I	
2934300	2940380	ride my bike quite a lot and what I want to take into consideration is that we've	
2940380	2947180	heard the bike users talk about me me me and it's the impact but us residents	
2947180	2952500	are saying it's about everybody how everybody's impacted not just the I	
2952500	2958620	suppose the 1% of the traffic that goes up that street per day where you know	
2958620	2961940	the 99.9% I should say are people going to the parks going to the	
2961940	2967940	Bay Run going to their houses or walking their dogs so you know further	
2967940	2974820	testament to that I am a bike enthusiast is that the Canada Bay	
2974820	2980820	bicycle user group Bay Rugged Bay Bug Forum which despite the low number of	
2980820	2989660	73 followers I thank them for posting an article on February 19th February 19th	
2989660	2996420	this year from real estate comm where I talk about how bicycle lanes and can	
2996420	3001340	actually improve the value of people's homes if they're done correctly so I'm	
3001340	3007020	not even a resident I'm in favor of bait bicycle lanes and but I can simply say	
3007020	3013620	the lanes that we have at Heath Street are completely unsafe where I live I'm	
3013620	3021260	exposed to pretty much all of Timble Park and Heath Street so wraps around	
3021260	3029300	the amount of times I've seen people kids Monday Tuesday I think Wednesday as	
3029300	3033060	well there's touch football there's hundreds if not thousands of parents	
3033060	3038060	and kids crossing those roads when they come from the bicycle lane and then	
3038060	3044180	there's a the the cars park they stick their heads out it's so narrow there's	
3044180	3048980	just no room for a mistake and I think the council's really gonna take that in	
3048980	3055980	consideration I'm not too sure but if I built a concrete block like that on my	
3055980	3061380	in my house I think I wouldn't get approved it would be trip hazard because	
3061380	3066220	I've honestly witnessed more and this is no this is fact I've actually seen	
3066220	3071260	people trip over those concrete blocks more than I've seen bikes use that bike	
3071260	3075700	track so I don't know where he got those figures from where the amount of bikes	
3075700	3080180	go up and down Heath Street but I think he's somewhat confused with those	
3080180	3082540	numbers	
3088140	3092940	Heath Street was a beautiful wide safe street which has now become a narrow	
3092940	3097340	confusing and unsafe Street you only have to go to barn staple streets the	
3097340	3101580	end of the street to see how it should be done the way that it's been designed	
3101580	3106220	there you don't have to look too far at all the new proposal for the council I	
3106220	3111900	believe is a win-win for everyone and I plead with the bike people stop worrying	
3111900	3117060	about yourself and worrying about the whole community because it's about	
3117060	3126700	everybody being safe not just the bikes everything else I think Maria and and	
3126700	3131260	Ross did a great job summarizing I sort of want to leave that out but I suppose	
3131260	3137340	while I'm here the council can come back and get all the spray paint markings off	
3137340	3143860	the off the footpaths that'd be a great idea as well thanks for that	
3143860	3150780	there are no speakers on the item a further speaker sorry no further	
3150780	3156700	speaks I'll give the opportunity for the chairman of the committee of traffic as	
3156700	3165940	the chair mr. council Meghna what do you want to do with this one thank you mr.	
3165940	3174540	mayor as mr. Butler said quite a few councillors or three at least have been	
3174540	3178700	down there and witnessed everything in real time the problems that are	
3178700	3185060	happening down there it is a shared space it's not just cyclists motorists	
3185060	3193420	and do something all right look I move the recommendation what I'll do I'll	
3193420	3197580	just add to it as well I'll move the recommendation of the traffic	
3197580	3202900	committee in this regard but also I'm sorry I was writing it out so I've	
3202900	3207300	only got half a part of it here but further consideration and invest in	
3207300	3211940	investigative work be undertaken with regards to the traffic islands on the	
3211940	3217860	intersection of Henley Marine Drive and Heath Street and that the potential	
3217860	3223140	removal of traffic islands be presented to the traffic committee in future	
3223140	3228900	can that can that in court be incorporated with the traffic study that	
3228900	3232660	we're doing because they want to isolate something they're doing a traffic and	
3232660	3236220	pedestrian study and	
3242220	3245220	I'll just go with the recommendation sorry I'll just go with the	
3245220	3253060	recommendation you can put forward when they because it's not okay	
3253060	3257060	and that's it thank you I made a seconder	
3257060	3263780	council Z right anyone wish to speak against the recommendation councillor	
3263780	3266140	Jago	
3266220	3278680	thank you mr. mayor I'd like to move an amendment that we accept the council	
3278680	3282860	accept the city assets recommendations except for this Heath Street cycleway	
3282860	3287500	pending a further report to council following development of an improved	
3287500	3292300	concept design in conjunction with transport for New South Wales and	
3292300	3301620	bicycle New South Wales pending okay look you're trying to extend the time	
3301620	3308860	lapse on to carrying out the work pending for the study is the mover and	
3308860	3313420	the second I'm really happy with accepting second already known mr.	
3313420	3318820	man I'm sorry I've lived through this for quite a few months	
3318820	3327780	is that what any of the council's like to second my amendment so we can speak	
3327780	3342060	to it would be good have you got up there all right so count of Jago is	
3342060	3352340	point numbers is that your whole one two three this is what your amendment is one	
3352340	3359540	two three right that's what he's it's not quite the same hang on that's what	
3359540	3362380	you got that	
3365940	3371940	that'll do enough so as we accept it do we have a seconder if it doesn't get a	
3371940	3376500	seconder it lapses please accept how it actually debated I think it's worthy of	
3376500	3384020	debate one two three laps all right all right sorry	
3384020	3388460	council Jago there's no support on the floor for that to be debated so it	
3388460	3394380	stands the motion as moved and second and that's what we're debating if you	
3394380	3399420	want to speak against it you can speak against it so I'll ask someone that	
3399420	3404460	doesn't want to would like to speak against the motion before us	
3404460	3408820	against it thank you	
3415060	3422580	I'd like to first of all acknowledge the really strong experience on both sides	
3422580	3428700	of this debate okay can you talk to the chair not to the audience it's not I	
3428700	3437700	support that experience mr. mayor I do at the same time we have to acknowledge	
3437700	3443580	there is a diversity of views here and when we have that notorious socialist	
3443580	3448820	organization transport for New South Wales saying that's not they don't agree	
3448820	3456620	with this approach proposal I think it's worthy of examination so we certainly	
3456620	3462260	have concerns from the cyclists because you know once that separated cycleway	
3462260	3466940	is taken out then they're in greater danger and lives are at risk on the other	
3466940	3473220	hand we have legitimate concerns from the residents but their response I	
3473220	3477860	believe is to throw out the baby with the bathwater and and I won't mention	
3477860	3482300	the council expense we're talking about safety here but let's stop and think	
3482300	3487100	about it let's stop and think about it we've got the offer of real expertise	
3487100	3493460	and let's isolate the specific issues that are going on here we've we've got	
3493460	3497140	an offer from transport for New South Wales to actually help us work it	
3497140	3502580	through bicycle New South Wales have made the same offer and in fact the CEO	
3502580	3508580	called me and made that offer and that's open there is enormous expertise out	
3508580	3516580	there and we simply go with what will be a dumbed down response excuse me then	
3516580	3524500	that's not where we need to be let's apply an intelligent response that gets	
3524500	3531220	the maximum out of it instead of in the jerk reaction and that's why I say let's	
3531220	3536340	let's do it properly let's not do it half-assed excuse me let's do it	
3536340	3547140	properly take the offer okay before we move on have we had any incident report	
3547140	3552100	reports to council about matters down there at history	
3558140	3562580	three mr. mayor there's two insurance claims and another incident which I	
3562580	3568340	think was referred to earlier as an accident that we were aware of prior to	
3568340	3576620	that were any incident reports for Heath Street on record that we know no	
3576620	3583100	okay all right um council Megner sorry I'll ask for any speakers for them the	
3583100	3598860	motion is a second wish to speak to it mr. mayor sometimes things don't go our	
3598860	3604300	way or there has there is unintended consequences certainly the insurance	
3604300	3610660	claims and liability and trip hazards those unintended consequences and no	
3610660	3616300	amount of compensation will give back a someone who loses a family member	
3616300	3626860	because of an accident because of blind spots I appreciate the funding may	
3626860	3634140	involve some clawback potentially but I think we've got a proceed with the	
3634140	3642660	recommendation thank you any councillors that would like to speak on this item	
3642660	3649300	councilor Gordaro thank you mr. mayor just in brief look I can sense it the	
3649300	3653300	prevailing attitude here amongst all members who have come to speak tonight	
3653300	3660260	in the community the greater communities that they do support cycleways and that	
3660260	3665540	we and there is an acknowledgement that cars and bicycles need to share roads I	
3665540	3672860	can't imagine how blocks placed on a street that are 300 or 400 millimeters	
3672860	3678580	above ground level can ever be safe that gives license to cyclists to you know	
3678580	3683340	travel at 30 40 kilometers an hour along there I live on a stretch of road in	
3683340	3689420	Des Moines Wrights Road and Renwick Street that has safe bike transit going	
3689420	3695660	through it without such a cycle lanes constructed in Heath Street and I think	
3695660	3700060	there are other solutions and I can't see that deferring this for further	
3700060	3704060	consultation will actually come up with a solution that involves leaving the	
3704060	3716180	blocks with our speakers council make no further just sum up I think we've got a	
3716180	3720900	responsibility to the residents the safety of residents and the safety of	
3720900	3727340	cyclists both because there have been accidents there could be other	
3727340	3732500	accidents I have been down there when there have been near misses it isn't	
3732500	3735900	safe the way it is we're not throwing the baby out with the bath water as some	
3735900	3742100	people have said it is a very small street in a very large network and	
3742100	3748900	councillors have a long-standing history of supporting cycle networks we're not	
3748900	3754220	throwing the baby out with a bath water cyclists also have to be aware that	
3754220	3758660	there are pedestrians and cars around it's not just used for cyclists and	
3758660	3764700	while we've got all the bodies here can you tell your cyclists who speed down	
3764700	3769460	Henry Street and don't stop at great North Road where it says cyclists	
3769460	3774700	dismount and they speed across how many new missus I've seen knocking	
3774700	3779060	pedestrians over knocking little old ladies and swearing at little old ladies	
3779060	3785180	because they got in the way of cyclists and I've said to a few of them why don't	
3785180	3788540	you get off your bike because it says cyclists dismount oh it cuts into our	
3788540	3793380	into our time well it's not a race it's not a marathon it's not the Grand Prix	
3793380	3798740	of cyclists they have to be responsible for their own safety one has fallen off	
3798740	3806980	because he skidded so fast the same can happen here in Heath Street just to	
3806980	3812140	round it into Heath Street we're looking at a mentality and we're looking at	
3812140	3817220	safety the safety is paramount for the cyclists and for the pedestrians and for	
3817220	3821900	the residents coming out of their car driving out of their their driveways I	
3821900	3827340	think the recommendation is a suitable recommendation and is taking into	
3827340	3832860	consideration everyone's welfare okay close the debate I'm now going to put it	
3832860	3840820	all those in favor say aye those against no no the I think the eyes have it	
3840820	3845300	declare it carried thank you	
3845300	3859700	okay well what just wait till the gallery empties a bit and then I'm not	
3859700	3872700	gonna wait are you leaving the room just just adjourned the meeting until	
3872700	3876460	councillor Jio comes back it's removed in seconded council mechnek councillor	
3876460	3906420	there's anything all those folks how I always have it so what are you gonna do	
